short_name,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
1600 world bier haus,0.0,0.0014388489208632998,0.05206478333339839,0.0057553956834532185,0.00331177271964304,0.010506017323959598,0.0,0.12946673588963878,0.007218446620891005,0.0014388489208632998,0.0,0.09455571733606061,0.0,0.06522365395800558,0.0,0.022523489618505938,0.0,0.0028776978417265997,0.0,0.0,0.03451675989647781,0.0,0.0,0.0,0.0,0.08881593585684897,0.0,0.0028776978417265997,0.030361039437576356,0.04107628709837337,0.0004340748779164406,0.0,0.0,0.0,0.025586215780495507,0.012427345155888293,0.009662069584701184,0.0,0.0057553956834532185,0.05594725521807187,0.0153292450141894,0.01281301600065578,0.037008786893436944,0.0014388489208632998,0.06625263001752693,0.03237058752347009,0.04463710637566994,0.0,0.06234595611627897,0.0,0.01489517013627296,0.0004340748779164406,0.008633093525179839,0.0
17th ave liquor boutique,0.0,0.6350299446951911,0.002868472570237626,0.0009167845747273517,0.003823541035957345,0.0,0.0,0.0,0.028184084124437122,0.011713553235160046,0.00134272909075099,0.0,0.0,0.04209054285134626,0.00015640273704789834,0.002237881817918323,0.0,0.0,0.0,0.00013477088948785998,0.0,0.0,0.0012562017005108765,0.0,0.007873360155770373,0.06443278977058647,0.0,0.0029333681129177017,0.0028301886792452794,0.00684343653911516,0.0,0.00013477088948785998,0.0007387499901194349,0.0,0.0008951527271673333,0.00013477088948785998,0.0,0.0,0.04053320791604418,0.0,0.0,0.0,0.1384411632190086,0.00042594451602363825,0.00013477088948785998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025506872920141197,0.00134272909075099
1886 buffalo,0.0,0.0,0.1055555555555555,0.0666666666666666,0.0277777777777777,0.2222222222222222,0.0,0.0111111111111111,0.0,0.0166666666666666,0.0,0.0277777777777777,0.0,0.0333333333333333,0.0,0.0111111111111111,0.0,0.0,0.0055555555555555,0.0222222222222222,0.0166666666666666,0.0,0.0,0.0,0.0,0.0888888888888888,0.0333333333333333,0.0055555555555555,0.0111111111111111,0.0055555555555555,0.0,0.0,0.0,0.0,0.0055555555555555,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0222222222222222,0.0111111111111111,0.0166666666666666,0.0166666666666666,0.0277777777777777,0.0,0.0111111111111111,0.0,0.0055555555555555,0.0,0.0888888888888888,0.0
1886 buffalo cafe,0.0,0.0,0.0073690557374039315,0.029476222949615726,0.0073690557374039315,0.2980214656545166,0.0,0.05895244589923152,0.0,0.09351931531902034,0.0,0.022107167212211794,0.0,0.09213490396262289,0.0,0.010286878102004394,0.0,0.0,0.0,0.014738111474807863,0.0,0.0,0.0,0.0,0.0,0.061721268612026425,0.05296780151822504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052818801866419435,0.0,0.0,0.0,0.0,0.0,0.07799279109503729,0.0,0.0,0.07660837973863985,0.0,0.0,0.0,0.043916335120812486,0.0,0.0,0.0,0.0,0.0
1918 tap & table,0.0,0.0246305418719211,0.0394088669950738,0.0492610837438423,0.0049261083743842,0.1182266009852216,0.0,0.0443349753694581,0.0147783251231527,0.0098522167487684,0.0,0.0394088669950738,0.0,0.0295566502463054,0.0,0.0197044334975369,0.0,0.0,0.0,0.0246305418719211,0.1083743842364532,0.0,0.0,0.0,0.0,0.1231527093596059,0.0147783251231527,0.0,0.0147783251231527,0.0,0.0,0.0,0.0,0.0,0.0049261083743842,0.0147783251231527,0.0049261083743842,0.0,0.0,0.0,0.0,0.0591133004926108,0.0344827586206896,0.0049261083743842,0.0344827586206896,0.0443349753694581,0.0,0.0,0.0197044334975369,0.0,0.0049261083743842,0.0,0.0935960591133004,0.0
2 for 1 pizza house,0.0,0.0,0.0011884550084889597,0.00892981306634865,0.007358011344817142,0.02643335982542486,0.0,0.0012076223441410813,0.00016977928692697998,0.0010186757215619598,0.0,0.06905052718192847,0.0,0.0,0.0,0.0005093378607809799,0.0,0.005797116559054226,0.0,0.00281503200303468,0.00281503200303468,0.0,0.0,0.0,0.0,0.0003395585738539799,0.0020373514431239197,0.3334171670357114,0.20482110620388108,0.0,0.0,0.0,0.0,0.0,0.002604191310861284,0.0010186757215619598,0.0035105897524526477,0.0,0.0,0.24137554103614287,0.0,0.012377447343960629,0.013867046056942216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010186757215619598,0.0,0.05631988759440312,0.0
241 pizza,0.0,0.0,0.0416666666666666,0.0185185185185185,0.037037037037037,0.037037037037037,0.0,0.0185185185185185,0.0,0.0185185185185185,0.0,0.0601851851851851,0.0,0.0,0.0,0.0138888888888888,0.0,0.0462962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046296296296296,0.0185185185185185,0.0,0.0185185185185185,0.0,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,0.0,0.0,0.0,0.4212962962962963,0.0,0.1527777777777778,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0
2am liquor co inc,0.0,0.8258764315609566,0.007390959129018786,0.0,0.0014184397163120397,0.0,0.0,0.0,0.0028368794326240994,0.06913211406731531,0.0,0.0,0.0,0.030161357610992225,0.0,0.0028368794326240994,0.0,0.0,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.026726957083451085,0.0,0.0014184397163120397,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0,0.025109343668833335,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0
4 corners,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403 local eatery and bar,0.0,0.010884706087504338,0.007370325301208784,0.04722398700062175,0.04203780675333284,0.010884706087504338,0.0,0.06599136398226138,0.0,0.01456986873810873,0.0,0.157266520925827,0.005527743975906589,0.001842581325302196,0.0,0.012727287412806534,0.0,0.0,0.0,0.0,0.052751730976528334,0.0,0.0,0.0,0.0,0.04555218753962839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029310519340526302,0.0,0.0,0.0,0.158255192929585,0.0,0.14034172526948957,0.07134832609385913,0.010884706087504338,0.0879315580215789,0.012727287412806534,0.0,0.0,0.001842581325302196,0.0,0.0,0.0,0.012727287412806534,0.0
