short_name,number_of_orders,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
1 pot,12,0.0,0.0,0.11864406779661017,0.07627118644067797,0.059322033898305086,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.025423728813559324,0.00847457627118644,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.15254237288135594,0.00847457627118644,0.1694915254237288,0.0,0.1440677966101695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410 world bier haus,107,0.0,0.0,0.06690140845070422,0.0,0.01056338028169014,0.014084507042253521,0.0,0.18309859154929578,0.0,0.0,0.0,0.15140845070422534,0.0,0.056338028169014086,0.0,0.01056338028169014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.01056338028169014,0.045774647887323945,0.017605633802816902,0.0,0.0,0.0,0.03873239436619718,0.03169014084507042,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.02464788732394366,0.0,0.11267605633802817,0.06690140845070422,0.017605633802816902,0.0,0.056338028169014086,0.0,0.01056338028169014,0.02464788732394366,0.0,0.0
1600 world bier haus,599,0.0,0.0,0.05968529571351058,0.0,0.0005425935973955507,0.0005425935973955507,0.0,0.15463917525773196,0.005425935973955507,0.0,0.0,0.10200759631036353,0.0,0.07433532284319046,0.0,0.017362995116657624,0.0,0.0,0.0,0.0,0.02875746066196419,0.0,0.0,0.0,0.0,0.07325013564839934,0.0,0.0,0.032555615843733045,0.04774823657080846,0.0005425935973955507,0.0,0.0,0.0,0.026587086272381984,0.011937059142702116,0.0048833423765599565,0.0,0.0,0.05914270211611503,0.017362995116657624,0.0016277807921866521,0.03906673901247965,0.0,0.0792186652197504,0.031470428648941944,0.0396093326098752,0.0,0.07433532284319046,0.0,0.016820401519262073,0.0005425935973955507,0.0,0.0
17th ave liquor boutique,6288,0.0,0.6162267839687194,0.0015640273704789834,0.0009775171065493646,0.004105571847507331,0.0,0.0,0.0,0.033040078201368527,0.013294232649071359,0.0011730205278592375,0.0,0.0,0.043010752688172046,0.00019550342130987292,0.0019550342130987292,0.0,0.0,0.0,0.0,0.0,0.0,0.00039100684261974585,0.0,0.007820136852394917,0.06588465298142718,0.0,0.002150537634408602,0.0,0.007038123167155425,0.0,0.0,0.0005865102639296188,0.0,0.0007820136852394917,0.0,0.0,0.0,0.0447702834799609,0.0,0.0,0.0,0.15131964809384163,0.00019550342130987292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002346041055718475,0.0011730205278592375
17th ave. liquor boutique,236,0.0,0.7094339622641509,0.0,0.0,0.0,0.0,0.0,0.0,0.022641509433962263,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01509433962264151,0.0,0.0,0.0,0.15849056603773584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886 buffalo,49,0.0,0.0,0.11458333333333333,0.09375,0.020833333333333332,0.3333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.010416666666666666,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.020833333333333332,0.07291666666666667,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1886 buffalo cafe,55,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.0,0.0,0.21951219512195122,0.0,0.0,0.0,0.1951219512195122,0.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06504065040650407,0.0,0.0,0.0,0.0,0.0,0.032520325203252036,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.08130081300813008,0.0,0.0,0.0,0.0,0.0
1918 tap & table,16,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.0,0.13953488372093023,0.0,0.046511627906976744,0.0,0.046511627906976744,0.0,0.20930232558139536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.11627906976744186,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0
2 claw burritos,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0
2 for 1 pizza house,932,0.0,0.0,0.0,0.00543221539914974,0.0007085498346717053,0.032829475673122346,0.0,0.00023618327822390176,0.0,0.0,0.0,0.06424185167690127,0.0,0.0,0.0,0.0,0.0,0.004487482286254133,0.0,0.0033065658951346244,0.0033065658951346244,0.0,0.0,0.0,0.0,0.0,0.0,0.35947094945677843,0.21421823334907888,0.0,0.0,0.0,0.0,0.0,0.0007085498346717053,0.0,0.0014170996693434106,0.0,0.0,0.23996221067548418,0.0,0.001889466225791214,0.01606046291922532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
2 scoops and pizza on pointe,177,0.0,0.0,0.0,0.007920792079207921,0.005940594059405941,0.0,0.0,0.0,0.0,0.033663366336633666,0.0,0.10297029702970296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04356435643564356,0.0,0.015841584158415842,0.11485148514851486,0.0,0.0,0.0,0.0,0.0,0.023762376237623763,0.0,0.039603960396039604,0.0,0.0,0.44356435643564357,0.0,0.100990099009901,0.05742574257425743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0
241 pizza,15,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2am liquor co inc,932,0.0,0.8444022770398482,0.0056925996204933585,0.0,0.0,0.0,0.0,0.0,0.0,0.07400379506641366,0.0,0.0,0.0,0.03415559772296015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022770398481973434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018975332068311195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
