,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
African,0.9986051123227143,0.39263977131509187,0.39965372167674024,0.40426279435197365,0.4353391265078044,0.3952919063810707,0.38898473154401514,0.39796647930254464,0.3944110870602986,0.39289218508115825,0.39215772293118384,0.4175047856193567,0.39865514918073874,0.40498794472536553,0.3939194464058198,0.39678701652676723,0.7803965478804765,0.4079815015870583,0.38760776026825056,0.39003765398152285,0.3982419369346542,0.38726708330095017,0.38836774530002766,0.38901534813020916,0.3872760560140531,0.4007889074359212,0.3917746956963739,0.43200528581214137,0.3926383552539142,0.39219275388179164,0.3919656186609067,0.38727463791188455,0.3998289148026051,0.3883246740178678,0.39366418800625924,0.39305229566676986,0.40466072217488197,0.40241555180972854,0.3884712681010534,0.3932669188096607,0.38828785123069554,0.39384370219297815,0.3997790173137982,0.4297381024651857,0.40007268839384347,0.40041587467012896,0.4494766477981823,0.38892546595122945,0.3903051667882287,0.39171144524907725,0.38932273529851424,0.3921439513788092,0.397779840619286,0.39717144721250297
Alcohol,0.39263977131509187,0.9986051123227143,0.4245897878417428,0.4116403725289814,0.41375623521074134,0.41670495257798185,0.3932019125179814,0.43781364874149303,0.4369014843188573,0.4731867962253443,0.3903271607995808,0.43918725462695496,0.41131288488225615,0.42485782230828517,0.4183052241340136,0.4164746724919384,0.40426586890093275,0.4285596173865178,0.38736717718170427,0.40275300606279557,0.4214887447113053,0.39737803901119667,0.39002804212455705,0.3877249759106042,0.41003672390933366,0.4232334752032628,0.41286099433005136,0.40373880806383916,0.41813912691479604,0.41193466727029077,0.3996143656226837,0.38741517867601155,0.40191540106145285,0.39176131995832525,0.4099840734264668,0.4066805657419376,0.40144384779373216,0.4060759999035736,0.4183110623033899,0.4155178963664918,0.3938960922124801,0.4218509840996521,0.417987238724374,0.40330572273923565,0.42247903527904707,0.4192497024493444,0.40650190433484845,0.39070497818039535,0.40809034102061226,0.39724438777614546,0.40279030579544767,0.4011936716142532,0.40089299820957636,0.4059317362445244
Bakery,0.39965372167674024,0.4245897878417428,0.9986051123227143,0.629761987804923,0.6506700066172374,0.7925766085904687,0.482164083470976,0.6310620987389689,0.580033564217556,0.49337971921650053,0.4006548818638195,0.761813238386216,0.5872062796016443,0.6911974468776453,0.5134224835689022,0.7557681225077391,0.39680848961069093,0.7371142745363178,0.395696017044533,0.5719713805722948,0.5758246775970316,0.39178066204142953,0.406100523284017,0.3976965038697538,0.4107679141559916,0.6243230162945889,0.7207568000699834,0.48681896666300084,0.5185102298343598,0.5849476568259061,0.4809737237212859,0.392869676658527,0.42291402836458336,0.4205216822241409,0.48665802451919293,0.4849196168561154,0.4885099746360884,0.7251048128046025,0.4368723195965737,0.5015878285614888,0.43200023610542093,0.6783403126193033,0.5726915855717444,0.6135769917521041,0.639915949898881,0.6228576196405566,0.5961962603658042,0.418440855722491,0.4886915727870683,0.4520312378629984,0.4462313777926554,0.5508837349026405,0.4938327693123809,0.7634201860874705
Barbecue,0.40426279435197365,0.4116403725289814,0.629761987804923,0.9986051123227143,0.6399456990512765,0.5186802081868113,0.46904408030929245,0.6280623951747715,0.47283894168834867,0.4920851114659526,0.397424566156948,0.7820672844777579,0.5885431384602483,0.5465895623399534,0.44564082507002334,0.5194044951583338,0.39200745078603383,0.5915745146651566,0.3963006161588183,0.455359109677752,0.5300955470573998,0.39064191994164305,0.39848993338938743,0.4186475488800697,0.3893436500808426,0.6049960694767894,0.45150434197102685,0.46117430741820936,0.5367433737015617,0.5505211446396056,0.5433704675500247,0.3891742260723947,0.4204300739523132,0.4099839076665369,0.5061197418596481,0.4865506251013158,0.4994295527112222,0.7141319435852931,0.42241507520113275,0.5309719548497462,0.4150987949378939,0.7033123906159536,0.5213641169506581,0.6216595828709724,0.640031859952992,0.5835419299889152,0.5446625398598051,0.41117301949442725,0.4780650594886296,0.4635954847159655,0.4480229606212073,0.480490692317111,0.4737595742872863,0.7542009055285547
Beef,0.4353391265078044,0.41375623521074134,0.6506700066172374,0.6399456990512765,0.9986051123227143,0.525335906888833,0.505718728334285,0.5971549308643582,0.4788139908658781,0.47768716274868966,0.4156397863631192,0.7597916137177692,0.7827338449615259,0.6085686291187111,0.47210009358749616,0.5063894143556281,0.4093273007263128,0.612110464241668,0.40165461615275555,0.4704151532503774,0.5705997958558274,0.39646537913661584,0.40067199336406384,0.432671071694495,0.38977215229165546,0.6294064950287924,0.464794697672927,0.526751258129008,0.5325126950614061,0.7729174120669505,0.5521943171845631,0.396765953318484,0.56161918077486,0.4232963609868175,0.5297484125414825,0.571259960570862,0.7568676321398791,0.8610131171880037,0.43226558524871517,0.5009405581477937,0.41940740821335565,0.6514154143161576,0.5179108247013937,0.7450716238654559,0.7124535875165892,0.6469092221183376,0.7782387504657023,0.4242068940503579,0.4992024156742313,0.48646470258200686,0.5285854912234275,0.5671005953452305,0.47412407288731295,0.845332925139278
Breakfast & Brunch,0.3952919063810707,0.41670495257798185,0.7925766085904687,0.5186802081868113,0.525335906888833,0.9986051123227143,0.44729455176020494,0.5958142981406304,0.48947201743387864,0.49693548784086955,0.39722088457667587,0.6215719552623848,0.5234066971399559,0.6532303081077946,0.48475387151815374,0.5600323416832728,0.3989850110113046,0.6719272421862905,0.39163042378761537,0.6245053975695563,0.5271721410089765,0.39251903040770847,0.39979263929436615,0.3916312499415323,0.38928425416010964,0.5798001915946227,0.8344295287285503,0.5159386271237777,0.5177555309098181,0.5115295786176558,0.44577162670502757,0.39024407829687136,0.4165139957943156,0.41068764885948744,0.4790315103602061,0.5283494472779082,0.46527626697351504,0.5262740901543594,0.423579566917736,0.4952488007550811,0.4118644554923871,0.6458234597746136,0.48710615750934544,0.5139434183178382,0.6870653380722986,0.5094401435395336,0.5020283558121743,0.4137536505582927,0.49659317777370526,0.4440059170308472,0.4384856108623434,0.46015847610277716,0.8456193786763933,0.5232862338350692
Bubble Tea,0.38898473154401514,0.3932019125179814,0.482164083470976,0.46904408030929245,0.505718728334285,0.44729455176020494,0.9986051123227143,0.43919950333376057,0.45713857286788695,0.40742320147416955,0.3925661804259848,0.4910364253533622,0.5127925989296525,0.8001967026218341,0.4218899764580339,0.45470471894091674,0.38805351158124995,0.45433638720040903,0.39713894543632733,0.4227421819119435,0.43899148461107257,0.44527321182027196,0.39985014784599204,0.39196260381509945,0.38760811838223236,0.5137913160426839,0.41521138539983804,0.4116113348181682,0.4184727397475502,0.5537743135065831,0.4590800946220154,0.390311542290823,0.4065265049921736,0.39590630768634893,0.4215460708589017,0.41382223359606585,0.420886961059514,0.5111301281203844,0.40208165076940505,0.41320053477692664,0.41236207013096793,0.4596170635901846,0.4215344135689802,0.4738829085879121,0.4592783964941167,0.47149888863338696,0.47847752283829026,0.3953576907548188,0.4228693340682328,0.43441328824491593,0.4039021383399699,0.4512293712549694,0.42247456141053036,0.6225161689950567
Burgers,0.39796647930254464,0.43781364874149303,0.6310620987389689,0.6280623951747715,0.5971549308643582,0.5958142981406304,0.43919950333376057,0.9986051123227143,0.49555683648013854,0.5868073658696298,0.40702897674168076,0.8371671724414378,0.5029630055414477,0.5586106029943263,0.4994242683050884,0.6586696427326711,0.4031634039282988,0.9536644128096045,0.39207372687763026,0.5344762596547817,0.8682909797391397,0.39788818204445525,0.3973923083342921,0.41277551310947874,0.3895402217975315,0.550435558128659,0.5433164814369437,0.463133301689595,0.5274178516754723,0.5173022415634525,0.44363735117816294,0.39212784616870244,0.43196385454261965,0.4099344214827458,0.4882853489389284,0.49809568353327127,0.4825921793332069,0.5083088162321154,0.451213514137748,0.5044274658864323,0.42395652778806786,0.7492380629428768,0.5652284186885078,0.49569768106686884,0.6883062108475498,0.5249453386723258,0.4798460567982849,0.4182626182981269,0.4953089099756654,0.4314234670278151,0.4609604548976216,0.4562958788767286,0.541211551699859,0.5054787649375405
Butcher,0.3944110870602986,0.4369014843188573,0.580033564217556,0.47283894168834867,0.4788139908658781,0.48947201743387864,0.45713857286788695,0.49555683648013854,0.9986051123227143,0.43236763667752365,0.3922547279700215,0.5367847900767366,0.49891229043910956,0.49754882350389984,0.456962765074952,0.6088720825298483,0.40915467280174145,0.5004922986932457,0.390063043525177,0.4775841078977055,0.4679813734263381,0.3883892655282675,0.39281838503157607,0.3917477604805187,0.40853389471253976,0.5576200176525736,0.44413807157869456,0.4673060420744573,0.45147886265964393,0.5075190880731144,0.41995401405130905,0.3881754174752973,0.4182450264818311,0.4044499688617345,0.4355258807405966,0.430201390907474,0.42239596819735886,0.475203047973218,0.4089423410190265,0.43345645126390697,0.4054888672234054,0.484019249727781,0.4368608853428962,0.4815999764114821,0.48675596012263167,0.5967841156863121,0.4578456582712419,0.402054527431655,0.44120254319502644,0.4505763449838011,0.4188375804298363,0.44158699382076905,0.42710285114437474,0.48813889081672707
Canadian,0.39289218508115825,0.4731867962253443,0.49337971921650053,0.4920851114659526,0.47768716274868966,0.49693548784086955,0.40742320147416955,0.5868073658696298,0.43236763667752365,0.9986051123227143,0.3923253289481608,0.5908866249088004,0.4459487358634312,0.46742446071400223,0.43912062131437035,0.5028185587955779,0.38956752430790653,0.5280936528925003,0.3895996826212353,0.43882025010940473,0.5009578119002553,0.38873413820062697,0.3914866936890153,0.391269868145788,0.3890306928966289,0.4785540296533776,0.4558050893777847,0.42077634663602054,0.4776739455016145,0.44593445326701925,0.418531386781474,0.3884320271053078,0.40370141976329665,0.4110391306936329,0.4660759373923137,0.4540259448810925,0.4834217851309024,0.43457781843423315,0.44608606477144486,0.50047169353183,0.42537465569579025,0.5369970770201495,0.4968691713630066,0.43965104962640367,0.5318594158326669,0.4477809563868698,0.43209340711905864,0.41008125723163713,0.4558358927602593,0.4062391825109218,0.4295529896554667,0.41865308594398143,0.4451989670952173,0.4345892683235905
